segment_id,street,direction,length,observed_speed,predicted_speed,travel_time_minutes,estimated_co2,distance_score,time_score,emission_score,distance_focused_score,balanced_score,sustainability_focused_score
184,87th,EB,0.49,31.0,28.0,1.05,102.5,0.3377,0.074,0.3059,0.2554,0.2375,0.2395
185,87th,EB,0.5,33.0,26.9,1.12,104.6,0.3506,0.0846,0.3177,0.2675,0.2493,0.251
187,North,EB,0.49,35.0,28.4,1.03,102.5,0.3377,0.0715,0.3059,0.2546,0.2367,0.2387
188,North,EB,0.5,27.0,26.9,1.12,104.6,0.3506,0.0846,0.3177,0.2675,0.2493,0.251
189,North,EB,0.51,31.0,26.9,1.14,106.7,0.3636,0.0881,0.3294,0.2776,0.2587,0.2605
190,North,EB,0.49,27.0,26.3,1.12,102.5,0.3377,0.085,0.3059,0.2587,0.2413,0.2428
191,North,EB,0.5,23.0,26.2,1.15,104.6,0.3506,0.0895,0.3177,0.269,0.251,0.2525
1,55th,EB,0.5,23.0,24.0,1.25,104.6,0.3506,0.1063,0.3177,0.274,0.2567,0.2575
2,55th,EB,0.5,20.0,22.5,1.33,104.6,0.3506,0.1189,0.3177,0.2778,0.261,0.2613
3,55th,EB,0.5,23.0,23.4,1.28,104.6,0.3506,0.1107,0.3177,0.2754,0.2582,0.2589
4,55th,EB,0.5,20.0,22.5,1.33,104.6,0.3506,0.1189,0.3177,0.2778,0.261,0.2613
9,Garfield,EB,0.72,11.0,13.5,3.21,195.8,0.6364,0.4182,0.8306,0.5903,0.6263,0.6874
10,Garfield,EB,0.27,22.0,22.4,0.72,56.5,0.0519,0.0218,0.0471,0.0424,0.0401,0.04
11,Garfield,EB,0.5,25.0,24.9,1.21,104.6,0.3506,0.099,0.3177,0.2719,0.2542,0.2554
32,Pulaski,NB,0.62,13.0,16.2,2.3,168.6,0.5065,0.273,0.6777,0.4536,0.4836,0.5392
33,Pulaski,NB,0.38,22.0,25.2,0.91,79.5,0.1948,0.0509,0.1765,0.1498,0.1398,0.1406
34,Pulaski,NB,0.5,26.0,27.1,1.11,104.6,0.3506,0.0829,0.3177,0.267,0.2487,0.2505
